Цикл №57: Общая прибыль: 99716.58, Общие затраты: 21810.00, Разница: 77906.58, Среднее на складе: 9.10
Цикл №58: Общая прибыль: 100031.01, Общие затраты: 26560.00, Разница: 73471.01, Среднее на складе: 1.60
Цикл №59: Общая прибыль: 99574.15, Общие затраты: 26460.00, Разница: 73114.15, Среднее на складе: -0.50
Цикл №60: Общая прибыль: 99649.13, Общие затраты: 23060.00, Разница: 76589.13, Среднее на складе: 8.40
Цикл №61: Общая прибыль: 100140.50, Общие затраты: 21290.00, Разница: 78850.50, Среднее на складе: 7.20
Цикл №62: Общая прибыль: 100548.21, Общие затраты: 23570.00, Разница: 76978.21, Среднее на складе: 4.70
Цикл №63: Общая прибыль: 99513.63, Общие затраты: 23360.00, Разница: 76153.63, Среднее на складе: 3.70
Цикл №64: Общая прибыль: 99299.41, Общие затраты: 22950.00, Разница: 76349.41, Среднее на складе: 9.50
Цикл №65: Общая прибыль: 100471.11, Общие затраты: 23740.00, Разница: 76731.11, Среднее на складе: 4.20
Цикл №66: Общая прибыль: 100356.79, Общие затраты: 25420.00, Разница: 74936.79, Среднее на складе: -1.00
Цикл №67: Общая прибыль: 100198.33, Общие затраты: 23070.00, Разница: 77128.33, Среднее на складе: 8.50
Цикл №68: Общая прибыль: 100536.78, Общие затраты: 24170.00, Разница: 76366.78, Среднее на складе: 6.30
Цикл №69: Общая прибыль: 99166.40, Общие затраты: 23490.00, Разница: 75676.40, Среднее на складе: 3.90
Цикл №70: Общая прибыль: 100383.81, Общие затраты: 23900.00, Разница: 76483.81, Среднее на складе: 6.90
Цикл №71: Общая прибыль: 100302.34, Общие затраты: 25040.00, Разница: 75262.34, Среднее на складе: 2.90
Цикл №72: Общая прибыль: 99423.18, Общие затраты: 24340.00, Разница: 75083.18, Среднее на складе: 5.80
Цикл №73: Общая прибыль: 100351.94, Общие затраты: 23420.00, Разница: 76931.94, Среднее на складе: 5.40
Цикл №74: Общая прибыль: 99472.29, Общие затраты: 22440.00, Разница: 77032.29, Среднее на складе: 9.90
Цикл №75: Общая прибыль: 100046.85, Общие затраты: 22620.00, Разница: 77426.85, Среднее на складе: 8.40
Цикл №76: Общая прибыль: 100167.57, Общие затраты: 23280.00, Разница: 76887.57, Среднее на складе: 6.20
Цикл №77: Общая прибыль: 99800.99, Общие затраты: 23960.00, Разница: 75840.99, Среднее на складе: 4.20
Цикл №78: Общая прибыль: 99854.06, Общие затраты: 22660.00, Разница: 77194.06, Среднее на складе: 5.50
Цикл №79: Общая прибыль: 99394.07, Общие затраты: 25080.00, Разница: 74314.07, Среднее на складе: 5.50
Цикл №80: Общая прибыль: 99478.54, Общие затраты: 22750.00, Разница: 76728.54, Среднее на складе: 6.40
Цикл №81: Общая прибыль: 100178.76, Общие затраты: 24190.00, Разница: 75988.76, Среднее на складе: 6.50
Цикл №82: Общая прибыль: 99317.14, Общие затраты: 23410.00, Разница: 75907.14, Среднее на складе: 7.50
Цикл №83: Общая прибыль: 99835.08, Общие затраты: 25890.00, Разница: 73945.08, Среднее на складе: 1.50
Цикл №84: Общая прибыль: 99856.81, Общие затраты: 22830.00, Разница: 77026.81, Среднее на складе: 6.10
Цикл №85: Общая прибыль: 99258.60, Общие затраты: 24090.00, Разница: 75168.60, Среднее на складе: 3.30
Цикл №86: Общая прибыль: 99394.23, Общие затраты: 24770.00, Разница: 74624.23, Среднее на складе: 5.70
Цикл №87: Общая прибыль: 99571.03, Общие затраты: 26510.00, Разница: 73061.03, Среднее на складе: -2.20
Цикл №88: Общая прибыль: 100074.51, Общие затраты: 24230.00, Разница: 75844.51, Среднее на складе: 2.50
Цикл №89: Общая прибыль: 100205.12, Общие затраты: 24430.00, Разница: 75775.12, Среднее на складе: 5.60
Цикл №90: Общая прибыль: 100430.80, Общие затраты: 24080.00, Разница: 76350.80, Среднее на складе: 2.10
Цикл №91: Общая прибыль: 100932.70, Общие затраты: 25550.00, Разница: 75382.70, Среднее на складе: 1.40
Цикл №92: Общая прибыль: 101081.52, Общие затраты: 24220.00, Разница: 76861.52, Среднее на складе: 3.50
Цикл №93: Общая прибыль: 99943.76, Общие затраты: 22790.00, Разница: 77153.76, Среднее на складе: 4.60
Цикл №94: Общая прибыль: 99659.47, Общие затраты: 22340.00, Разница: 77319.47, Среднее на складе: 7.80
Цикл №95: Общая прибыль: 99908.69, Общие затраты: 23570.00, Разница: 76338.69, Среднее на складе: 4.70
Цикл №96: Общая прибыль: 99963.28, Общие затраты: 22780.00, Разница: 77183.28, Среднее на складе: 6.70
Цикл №97: Общая прибыль: 99963.18, Общие затраты: 25080.00, Разница: 74883.18, Среднее на складе: 3.30
Цикл №98: Общая прибыль: 99188.49, Общие затраты: 24410.00, Разница: 74778.49, Среднее на складе: 5.40
Цикл №99: Общая прибыль: 99945.34, Общие затраты: 25160.00, Разница: 74785.34, Среднее на складе: 1.90
Цикл №100: Общая прибыль: 100159.75, Общие затраты: 25630.00, Разница: 74529.75, Среднее на складе: 3.30
Цикл №101: Общая прибыль: 99894.30, Общие затраты: 26200.00, Разница: 73694.30, Среднее на складе: -3.10
Цикл №102: Общая прибыль: 100059.22, Общие затраты: 25590.00, Разница: 74469.22, Среднее на складе: 4.00
Цикл №103: Общая прибыль: 100912.87, Общие затраты: 24320.00, Разница: 76592.87, Среднее на складе: 2.30
